Submit Internal Service Delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All,,Business Process Parameters,Internal Service Delivery Data,,,,,,,Internal Service Delivery Line Data+,,,,,,,,,,,,,
Restrictions,Required,Optional,Optional,Optional,Optional,Required,Required,Required,Required,Optional,Required,Optional,Required,Optional,Optional,Optional,Optional,Optional,Required,Optional,Optional,Optional,Optional. May have multiples,Optional. May have multiples
Format,Text,Y/N,Y/N,Text,Y/N,Company_Reference_ID,Internal_Service_Provider_ID,Currency_ID,YYYY-MM-DD,Text,Text,Text,Number,Text,Spend_Category_ID,Number (22,2),UN_CEFACT_Common_Code_ID,Number (26,6),Number (18,3),Employee_ID,YYYY-MM-DD,Text,Cost_Center_Reference_ID,Fund_ID
Fields,Spreadsheet Key*,Add Only,Auto Complete,Internal Service Delivery ID,Submit,Company*,Internal Service Provider*,Currency*,Document Date*,Memo,Row ID**,Internal Service Delivery Line ID,Internal Service Delivery Line Number*,Item Description,Spend Category,Quantity,Unit of Measure,Unit Cost,Extended Amount*,Requester,Delivery Date,Memo,Cost Center,Fund,,,,USAGE,RATE,UNIT
,1,N,N,,Y,CP0001,ISP0000030,USD,11/03/2025,FY26 September Monthly for AmberHall,1,,1,"WashU IT RIS Storage3 active - consumption; Usage: 0.036829 X Rate: 6.50 X Per: TB",SC510,1,EA,0.24,0.24,,2025-09-01,"AmberHall",COST-2437,,,,,0.24,6.50,TB
,2,N,N,,Y,CP0001,ISP0000030,USD,11/03/2025,FY26 September Monthly for I2_i2_rdc2,1,,1,"WashU IT RIS Storage1 active - consumption; Usage: 44.336568 X Rate: 6.50 X Per: TB",SC510,1,EA,288.19,288.19,,2025-09-01,"I2_i2_rdc2_active",CC0004293,,,,,288.19,6.50,TB
,3,N,N,,Y,CP0001,ISP0000030,USD,11/03/2025,FY26 September Monthly for KerschensteinerD,1,,1,"WashU IT RIS Storage1 active - consumption; Usage: 67.052988 X Rate: 6.50 X Per: TB",SC510,1,EA,435.84,435.84,,2025-09-01,"KerschensteinerD_active",CC0000425,,,,,435.84,6.50,TB
,4,N,N,,Y,CP0001,ISP0000030,USD,11/03/2025,FY26 September Monthly for a.stratman,1,,1,"WashU IT RIS Storage1 active - consumption; Usage: 0.368709 X Rate: 6.50 X Per: TB",SC510,1,EA,2.4,2.4,,2025-09-01,"a.stratman_active",CC0000361,,,,,2.4,6.50,TB
,5,N,N,,Y,CP0001,ISP0000030,USD,11/03/2025,FY26 September Monthly for a.wilcox,1,,1,"WashU IT RIS Storage2 active - consumption; Usage: 0.427238 X Rate: 6.50 X Per: TB",SC510,1,EA,2.78,2.78,,2025-09-01,"a.wilcox",COST-1383,,,,,2.78,6.50,TB
,6,N,N,,Y,CP0001,ISP0000030,USD,11/03/2025,FY26 September Monthly for abby.green,1,,1,"WashU IT RIS Storage2 active - consumption; Usage: 4.323452 X Rate: 6.50 X Per: TB",SC510,1,EA,28.1,28.1,,2025-09-01,"abby.green",COST-822,,,,,28.1,6.50,TB
,7,N,N,,Y,CP0001,ISP0000030,USD,11/03/2025,FY26 September Monthly for abose,1,,1,"WashU IT RIS Storage1 active - consumption; Usage: 0.210993 X Rate: 6.50 X Per: TB",SC510,1,EA,1.37,1.37,,2025-09-01,"abose_active",CC0001071,,,,,1.37,6.50,TB
,8,N,N,,Y,CP0001,ISP0000030,USD,11/03/2025,FY26 September Monthly for adiwan,1,,1,"WashU IT RIS Storage1 active - consumption; Usage: 3.548859 X Rate: 6.50 X Per: TB",SC510,1,EA,23.07,23.07,,2025-09-01,"adiwan_active",CC0003910,,,,,23.07,6.50,TB
,9,N,N,,Y,CP0001,ISP0000030,USD,11/03/2025,FY26 September Monthly for akiu,1,,1,"WashU IT RIS Storage2 active - consumption; Usage: 2.520981 X Rate: 6.50 X Per: TB",SC510,1,EA,16.39,16.39,,2025-09-01,"akiu",COST-1060,,,,,16.39,6.50,TB
,10,N,N,,Y,CP0001,ISP0000030,USD,11/03/2025,FY26 September Monthly for alberthkim,1,,1,"WashU IT RIS Storage1 active - consumption; Usage: 61.640657 X Rate: 6.50 X Per: TB",SC510,1,EA,400.66,400.66,,2025-09-01,"alberthkim_active",CC0000661,,,,,400.66,6.50,TB
